Date,SKU Codes,Product Name,Type,Unit MRP,MRP for Pack Size,Unit PP,PP for Pack Size,Selling Price,NTR,Supplier
09-02-2023,CLEBRUGAL0000576,GALA NO DUST BROOM XL,DR1,,210,,143.65,,-1,
09-02-2023,BRASPRHER0000620,Hershey'S Chocloate Syrup 200Gms,DR1,,95,,68,,-1,
09-02-2023,BEVENEHOR0000716,"Horlicks Chocolate Energy Drink 500G Jar, (Pack of 2)",DR1,,498,,348,,-1,
09-02-2023,BRACERKEL0000579,Kellogg'S Cornflakes Original 875 G,DR1,,355,,287.55,,-1,
09-02-2023,BRASPR0000763,Kissan Doy Pack,DR1,,100,,78.0082,,-1,
09-02-2023,BRAREAKNO0000625,Knorr Soup Hot & Sour Veg 43 Gms (pack of 6),DR1,,360,,240,,-1,
09-02-2023,BRAREAKNO0000746,Knorr Soup Sweet Corn Veg ( Pack of 6 ),DR1,,360,,240,,-1,
09-02-2023,BRAREAKNO0000747,Knorr Soup Thick Tomato ( Pack of 6 ),DR1,,360,,120,,-1,
09-02-2023,BEVTEALIP0000627,Lipton Green Tea Lemon Zest ( Pack of 2 ),DR1,,340,,240,,-1,
09-02-2023,BEVTEALIP0000739,Lipton Green Tea Pure & Light ( Pack of 2 ),DR1,,340,,120,,-1,
09-02-2023,CLEALLLIZ0000580,Lizol Disinfectant 5 L,DR1,,849,,687.69,,-1,
09-02-2023,BEABATLUX0000719,Lux Jasmine Soap 150 gms (Pack of 1),DR1,,198,,137,,-1,
09-02-2023,BRANOOMAG0000758,Maggi Noodles 56 Gms (Pack of 96),DR1,,960,,855,,-1,
09-02-2023,OILOILPAR0000581,Parachute Coconut Oil Ej 600 Ml,DR1,,270,,227.1,,-1,
09-02-2023,BRABISPAR0000776,Parle G Mrp 10,DR1,,10,,604.8,,-1,
09-02-2023,CLEBRUSCO0000583,SCOTCH BRITE SCRUB SPONGE 2N,DR1,,65,,320.58,,-1,
09-02-2023,BEAFEMSTA0000750,Stayfree Secure XL Wings 40/-(72),DR1,,40,,374.4,,-1,
09-02-2023,CLEDETSUR0000685,Surf Top Load 4+2 Kg,DR1,,1375,,1095,,-1,
09-02-2023,CLEDETVIM0000688,Vim Liquid 250Ml (Pack Of 1),DR1,,55,,290,,-1,
09-02-2023,PEELTEMP223,Vim Liquid 500ml (Pack Of 3),DR1,,375,,300,,-1,
09-02-2023,PULFLOAAS0000541,Aashirvaad Chakki Atta 5KG,DR2,,233,,202,,-1,
09-02-2023,BEAORACOL0000679,"Colgate 200 gms, (Pack of 3)",DR1,,435,,289.8,,-1,
09-02-2023,RICBOIDAA0000762,Daawat Rozana Super 90 Basmati Rice 1kg,DR2,,98,,195,,-1,
09-02-2023,CLEALLHAR0000550,Harpic Original 500 Ml (Pack of 3 ),DR1,,594,,243.54,,-1,
09-02-2023,CLEALLHAR0000514,"Harpic Power Plus Toilet Cleaner,200 Ml",DR1,,40,,33.598958,,-1,
09-02-2023,BEABATLUX0000629,Lux Velvet Touch Soap 3X150 Gms,DR1,,198,,137,,-1,
09-02-2023,BRANOOMAG0000491,"Maggi 2-Min Masala Instant Noodles, 70 Gms (Pack of 96)",DR1,,10,,855,,-1,
09-02-2023,OILGHENES0000642,Nestle Everyday Ghee 1 L,DR0,,600,,555,,-1,
09-02-2023,BEAHAIPAR0000584,PARACHUTE COCONUT OIL EJ 200 ml ( Pack of 6 ),DR1,,570,,427.5,,-1,
09-02-2023,BEVTEARED0000656,"Red Label Tea - Natural Care, 500Gm (Pouch)",DR1,,300,,238,,-1,
